 mc  mn  quarterbeats  duration_qb  keysig  numbering_offset  dont_count  timesig_2/2  act_dur_1  act_dur_1/4  act_dur_3/4  mc_offset_0  mc_offset_3/4  barline_0  barline_start-repeat  breaks_0  breaks_line  repeats_0  repeats_end  repeats_firstMeasure  repeats_start  next_1, 50  next_10  next_100  next_101  next_102  next_103  next_104  next_105  next_106  next_107  next_108  next_109  next_11  next_110  next_111  next_112  next_113  next_114  next_115  next_116  next_117  next_118  next_119  next_12  next_120  next_121  next_122  next_123  next_124  next_125  next_126  next_127  next_128  next_129  next_13  next_130  next_131  next_132  next_133  next_134  next_135  next_136  next_137  next_138  next_139  next_14  next_140  next_141  next_142  next_143  next_144  next_145  next_146  next_147  next_148  next_149  next_15  next_150  next_151  next_152  next_153  next_154  next_16  next_17  next_18  next_19  next_2  next_20  next_21  next_22  next_23  next_24  next_25  next_26  next_27  next_28  next_29  next_3  next_30  next_31  next_32  next_33  next_34  next_35  next_36  next_37  next_38  next_39  next_4  next_40  next_41  next_42  next_43  next_44  next_45  next_46  next_47  next_48  next_49  next_5  next_50, -1  next_51  next_52  next_53  next_54  next_55  next_56  next_57  next_58  next_59  next_6  next_60  next_61  next_62  next_63  next_64  next_65  next_66  next_67  next_68  next_69  next_7  next_70  next_71  next_72  next_73  next_74  next_75  next_76  next_77  next_78  next_79  next_8  next_80  next_81  next_82  next_83  next_84  next_85  next_86  next_87  next_88  next_89  next_9  next_90  next_91  next_92  next_93  next_94  next_95  next_96  next_97  next_98  next_99
  1   0             0          1.0      -4               0.0         1.0         True      False         True        False        False           True       True                 False      True        False      False        False                  True          False       False    False     False     False     False     False     False     False     False     False     False     False    False     False     False     False     False     False     False     False     False     False     False    False     False     False     False     False     False     False     False     False     False     False    False     False     False     False     False     False     False     False     False     False     False    False     False     False     False     False     False     False     False     False     False     False    False     False     False     False     False     False    False    False    False    False    True    False    False    False    False    False    False    False    False    False    False   False    False    False    False    False    False    False    False    False    False    False   False    False    False    False    False    False    False    False    False    False    False   False        False    False    False    False    False    False    False    False    False    False   False    False    False    False    False    False    False    False    False    False    False   False    False    False    False    False    False    False    False    False    False    False   False    False    False    False    False    False    False    False    False    False    False   False    False    False    False    False    False    False    False    False    False    False
  2   1             1          4.0      -4               0.0         0.0         True       True        False        False         True          False       True                 False      True        False       True        False                 False          False       False    False     False     False     False     False     False     False     False     False     False     False    False     False     False     False     False     False     False     False     False     False     False    False     False     False     False     False     False     False     False     False     False     False    False     False     False     False     False     False     False     False     False     False     False    False     False     False     False     False     False     False     False     False     False     False    False     False     False     False     False     False    False    False    False    False   False    False    False    False    False    False    False    False    False    False    False    True    False    False    False    False    False    False    False    False    False    False   False    False    False    False    False    False    False    False    False    False    False   False        False    False    False    False    False    False    False    False    False    False   False    False    False    False    False    False    False    False    False    False    False   False    False    False    False    False    False    False    False    False    False    False   False    False    False    False    False    False    False    False    False    False    False   False    False    False    False    False    False    False    False    False    False    False
  3   2             5          4.0      -4               0.0         0.0         True       True        False        False         True          False       True                 False      True        False       True        False                 False          False       False    False     False     False     False     False     False     False     False     False     False     False    False     False     False     False     False     False     False     False     False     False     False    False     False     False     False     False     False     False     False     False     False     False    False     False     False     False     False     False     False     False     False     False     False    False     False     False     False     False     False     False     False     False     False     False    False     False     False     False     False     False    False    False    False    False   False    False    False    False    False    False    False    False    False    False    False   False    False    False    False    False    False    False    False    False    False    False    True    False    False    False    False    False    False    False    False    False    False   False        False    False    False    False    False    False    False    False    False    False   False    False    False    False    False    False    False    False    False    False    False   False    False    False    False    False    False    False    False    False    False    False   False    False    False    False    False    False    False    False    False    False    False   False    False    False    False    False    False    False    False    False    False    False
  4   3             9          4.0      -4               0.0         0.0         True       True        False        False         True          False       True                 False      True        False       True        False                 False          False       False    False     False     False     False     False     False     False     False     False     False     False    False     False     False     False     False     False     False     False     False     False     False    False     False     False     False     False     False     False     False     False     False     False    False     False     False     False     False     False     False     False     False     False     False    False     False     False     False     False     False     False     False     False     False     False    False     False     False     False     False     False    False    False    False    False   False    False    False    False    False    False    False    False    False    False    False   False    False    False    False    False    False    False    False    False    False    False   False    False    False    False    False    False    False    False    False    False    False    True        False    False    False    False    False    False    False    False    False    False   False    False    False    False    False    False    False    False    False    False    False   False    False    False    False    False    False    False    False    False    False    False   False    False    False    False    False    False    False    False    False    False    False   False    False    False    False    False    False    False    False    False    False    False
  5   4            13          4.0      -4               0.0         0.0         True       True        False        False         True          False       True                 False      True        False       True        False                 False          False       False    False     False     False     False     False     False     False     False     False     False     False    False     False     False     False     False     False     False     False     False     False     False    False     False     False     False     False     False     False     False     False     False     False    False     False     False     False     False     False     False     False     False     False     False    False     False     False     False     False     False     False     False     False     False     False    False     False     False     False     False     False    False    False    False    False   False    False    False    False    False    False    False    False    False    False    False   False    False    False    False    False    False    False    False    False    False    False   False    False    False    False    False    False    False    False    False    False    False   False        False    False    False    False    False    False    False    False    False    False    True    False    False    False    False    False    False    False    False    False    False   False    False    False    False    False    False    False    False    False    False    False   False    False    False    False    False    False    False    False    False    False    False   False    False    False    False    False    False    False    False    False    False    False
  6   5            17          4.0      -4               0.0         0.0         True       True        False        False         True          False       True                 False      True        False       True        False                 False          False       False    False     False     False     False     False     False     False     False     False     False     False    False     False     False     False     False     False     False     False     False     False     False    False     False     False     False     False     False     False     False     False     False     False    False     False     False     False     False     False     False     False     False     False     False    False     False     False     False     False     False     False     False     False     False     False    False     False     False     False     False     False    False    False    False    False   False    False    False    False    False    False    False    False    False    False    False   False    False    False    False    False    False    False    False    False    False    False   False    False    False    False    False    False    False    False    False    False    False   False        False    False    False    False    False    False    False    False    False    False   False    False    False    False    False    False    False    False    False    False    False    True    False    False    False    False    False    False    False    False    False    False   False    False    False    False    False    False    False    False    False    False    False   False    False    False    False    False    False    False    False    False    False    False
  7   6            21          4.0      -4               0.0         0.0         True       True        False        False         True          False       True                 False      True        False       True        False                 False          False       False    False     False     False     False     False     False     False     False     False     False     False    False     False     False     False     False     False     False     False     False     False     False    False     False     False     False     False     False     False     False     False     False     False    False     False     False     False     False     False     False     False     False     False     False    False     False     False     False     False     False     False     False     False     False     False    False     False     False     False     False     False    False    False    False    False   False    False    False    False    False    False    False    False    False    False    False   False    False    False    False    False    False    False    False    False    False    False   False    False    False    False    False    False    False    False    False    False    False   False        False    False    False    False    False    False    False    False    False    False   False    False    False    False    False    False    False    False    False    False    False   False    False    False    False    False    False    False    False    False    False    False    True    False    False    False    False    False    False    False    False    False    False   False    False    False    False    False    False    False    False    False    False    False
  8   7            25          4.0      -4               0.0         0.0         True       True        False        False         True          False       True                 False      True        False       True        False                 False          False       False    False     False     False     False     False     False     False     False     False     False     False    False     False     False     False     False     False     False     False     False     False     False    False     False     False     False     False     False     False     False     False     False     False    False     False     False     False     False     False     False     False     False     False     False    False     False     False     False     False     False     False     False     False     False     False    False     False     False     False     False     False    False    False    False    False   False    False    False    False    False    False    False    False    False    False    False   False    False    False    False    False    False    False    False    False    False    False   False    False    False    False    False    False    False    False    False    False    False   False        False    False    False    False    False    False    False    False    False    False   False    False    False    False    False    False    False    False    False    False    False   False    False    False    False    False    False    False    False    False    False    False   False    False    False    False    False    False    False    False    False    False    False    True    False    False    False    False    False    False    False    False    False    False
  9   8            29          4.0      -4               0.0         0.0         True       True        False        False         True          False       True                 False      True        False       True        False                 False          False       False     True     False     False     False     False     False     False     False     False     False     False    False     False     False     False     False     False     False     False     False     False     False    False     False     False     False     False     False     False     False     False     False     False    False     False     False     False     False     False     False     False     False     False     False    False     False     False     False     False     False     False     False     False     False     False    False     False     False     False     False     False    False    False    False    False   False    False    False    False    False    False    False    False    False    False    False   False    False    False    False    False    False    False    False    False    False    False   False    False    False    False    False    False    False    False    False    False    False   False        False    False    False    False    False    False    False    False    False    False   False    False    False    False    False    False    False    False    False    False    False   False    False    False    False    False    False    False    False    False    False    False   False    False    False    False    False    False    False    False    False    False    False   False    False    False    False    False    False    False    False    False    False    False
 10   9            33          4.0      -4               0.0         0.0         True       True        False        False         True          False       True                 False      True        False       True        False                 False          False       False    False     False     False     False     False     False     False     False     False     False     False     True     False     False     False     False     False     False     False     False     False     False    False     False     False     False     False     False     False     False     False     False     False    False     False     False     False     False     False     False     False     False     False     False    False     False     False     False     False     False     False     False     False     False     False    False     False     False     False     False     False    False    False    False    False   False    False    False    False    False    False    False    False    False    False    False   False    False    False    False    False    False    False    False    False    False    False   False    False    False    False    False    False    False    False    False    False    False   False        False    False    False    False    False    False    False    False    False    False   False    False    False    False    False    False    False    False    False    False    False   False    False    False    False    False    False    False    False    False    False    False   False    False    False    False    False    False    False    False    False    False    False   False    False    False    False    False    False    False    False    False    False    False
